s,cx,cy,lx,ly,rx,ry
285.811,71.2686,99.9998,71.2687,94.9998,71.2686,105
286.311,70.769,99.9998,70.769,94.9998,70.7689,105
286.81,70.2693,99.9998,70.2693,94.9998,70.2693,105
287.31,69.7696,99.9998,69.7697,94.9998,69.7696,105
287.81,69.27,99.9998,69.27,94.9998,69.2699,105
288.309,68.7703,99.9998,68.7703,94.9998,68.7702,105
288.809,68.2706,99.9998,68.2707,94.9998,68.2706,105
289.309,67.7709,99.9998,67.771,94.9998,67.7709,105
289.808,67.2713,99.9998,67.2713,94.9998,67.2712,105
290.308,66.7716,99.9998,66.7716,94.9998,66.7716,105
290.808,66.2719,99.9998,66.272,94.9998,66.2719,105
291.307,65.7723,99.9997,65.7723,94.9997,65.7722,105
291.807,65.2726,99.9997,65.2726,94.9997,65.2726,105
292.307,64.7729,99.9997,64.773,94.9997,64.7729,105
292.806,64.2733,99.9997,64.2733,94.9997,64.2732,105
293.306,63.7736,99.9997,63.7736,94.9997,63.7736,105
293.806,63.2739,99.9997,63.274,94.9997,63.2739,105
294.305,62.7742,99.9997,62.7743,94.9997,62.7742,105
294.805,62.2746,99.9997,62.2746,94.9997,62.2745,105
295.305,61.7749,99.9997,61.7749,94.9997,61.7749,105
295.804,61.2752,99.9997,61.2753,94.9997,61.2752,105
296.304,60.7756,99.9997,60.7756,94.9997,60.7755,105
296.804,60.2759,99.9997,60.2759,94.9997,60.2759,105
297.303,59.7762,99.9997,59.7763,94.9997,59.7762,105
297.803,59.2766,99.9997,59.2766,94.9997,59.2765,105
298.303,58.7769,99.9997,58.7769,94.9997,58.7769,105
298.802,58.2772,99.9997,58.2773,94.9997,58.2772,105
299.302,57.7776,99.9997,57.7776,94.9997,57.7775,105
299.802,57.2779,99.9997,57.2779,94.9997,57.2778,105
300.301,56.7782,99.9997,56.7783,94.9997,56.7782,105
300.801,56.2785,99.9997,56.2786,94.9997,56.2785,105
301.301,55.7789,99.9997,55.7789,94.9997,55.7788,105
301.8,55.2792,99.9997,55.2792,94.9997,55.2792,105
302.3,54.7795,99.9997,54.7796,94.9997,54.7795,105
302.8,54.2799,99.9997,54.2799,94.9997,54.2798,105
303.299,53.7802,99.9997,53.7802,94.9997,53.7802,105
303.799,53.2805,99.9997,53.2806,94.9997,53.2805,105
304.299,52.7809,99.9997,52.7809,94.9997,52.7808,105
304.798,52.2812,99.9996,52.2812,94.9996,52.2812,105
305.298,51.7815,99.9996,51.7816,94.9996,51.7815,105
305.798,51.2818,99.9996,51.2819,94.9996,51.2818,105
306.297,50.7822,99.9996,50.7822,94.9996,50.7821,105
306.797,50.2825,99.9996,50.2825,94.9996,50.2825,105
307.297,49.7828,99.9996,49.7829,94.9996,49.7828,105
307.796,49.2832,99.9996,49.2832,94.9996,49.2831,105
308.296,48.7835,99.9996,48.7835,94.9996,48.7835,105
308.796,48.2838,99.9996,48.2839,94.9996,48.2838,105
309.295,47.7842,99.9996,47.7842,94.9996,47.7841,105
309.795,47.2845,99.9996,47.2845,94.9996,47.2845,105
310.295,46.7848,99.9996,46.7849,94.9996,46.7848,105
310.794,46.2852,99.9996,46.2852,94.9996,46.2851,105
311.294,45.7855,99.9996,45.7855,94.9996,45.7854,105
311.794,45.2858,99.9996,45.2859,94.9996,45.2858,105
312.293,44.7861,99.9996,44.7862,94.9996,44.7861,105
312.793,44.2865,99.9996,44.2865,94.9996,44.2864,105
313.293,43.7868,99.9996,43.7868,94.9996,43.7868,105
313.792,43.2871,99.9996,43.2872,94.9996,43.2871,105
314.292,42.7875,99.9996,42.7875,94.9996,42.7874,105
314.792,42.2878,99.9996,42.2878,94.9996,42.2878,105
315.292,41.7881,99.9996,41.7882,94.9996,41.7881,105
315.791,41.2885,99.9996,41.2885,94.9996,41.2884,105
316.291,40.7888,99.9996,40.7888,94.9996,40.7888,105
316.791,40.2891,99.9996,40.2892,94.9996,40.2891,105
317.29,39.7894,99.9996,39.7895,94.9996,39.7894,105
317.79,39.2898,99.9996,39.2898,94.9996,39.2897,105
318.29,38.7901,99.9996,38.7901,94.9996,38.7901,105
318.789,38.2904,99.9995,38.2905,94.9995,38.2904,105
319.289,37.7908,99.9995,37.7908,94.9995,37.7907,105
319.789,37.2911,99.9995,37.2911,94.9995,37.2911,105
320.288,36.7914,99.9995,36.7915,94.9995,36.7914,105
320.788,36.2918,99.9995,36.2918,94.9995,36.2917,105
321.288,35.7921,99.9995,35.7921,94.9995,35.7921,105
321.787,35.2924,99.9995,35.2925,94.9995,35.2924,105
322.287,34.7928,99.9995,34.7928,94.9995,34.7927,105
322.787,34.2931,99.9995,34.2931,94.9995,34.293,105
323.286,33.7934,99.9995,33.7934,94.9995,33.7934,105
323.786,33.2937,99.9995,33.2938,94.9995,33.2937,105
324.286,32.7941,99.9995,32.7941,94.9995,32.794,105
324.785,32.2944,99.9995,32.2944,94.9995,32.2944,105
325.285,31.7947,99.9995,31.7948,94.9995,31.7947,104.999
325.785,31.2951,99.9995,31.2951,94.9995,31.295,104.999
326.284,30.7954,99.9995,30.7954,94.9995,30.7954,104.999
326.784,30.2957,99.9995,30.2958,94.9995,30.2957,104.999
327.284,29.7961,99.9995,29.7961,94.9995,29.796,104.999
327.783,29.2964,99.9995,29.2964,94.9995,29.2964,104.999
328.283,28.7967,99.9995,28.7968,94.9995,28.7967,104.999
328.783,28.297,99.9995,28.2971,94.9995,28.297,104.999
